Albania	8	1,2,3	1,2,3	3	1	0	1,3	Y
Algeria	12	1,2,3	1,2,3	1,3	1	3	1,3	Y
Argentina	32	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	N
Austria	40	1,2,3	1,2,3	3	1	0	1,3	Y
Australia	36	1,2,3,4	1,2,3,4	3,4	1,4	3,4	1,4	N
Belgium	56	1,2,3	1,2,3	3	1	0	1,3	Y
Bahrain	48	1,2,4	1,2	4	1	4	1,4	N
Brazil	76	1,2,3,4	1,2,3,4	3,4	1,4	4	1,4	Y
Bulgaria	100	1,2,3	1,2,3	3	1	0	1,3	Y
Brunei	96	1,2,4	1,2,4	1,2,4	1,4	1,4	1,4	N
Canada	124	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	N
Chile	152	1,2,3,4	1,2,3,4	2,4	1,4	4	1,4	Y
China	156	1,2,4	1,2,4	4	1,4	4	1,4	N
Colombia	170	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	N
Croatia	191	1,2,3	1,2,3	3	1	0	1,3	Y
CzechRepublic	203	1,2,3	1,2,3	3	1	0	1,3	Y
Denmark	208	1,2,3	1,2,3	3	1	0	1,3	Y
CostaRica	188	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
DominicanRepublic	214	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Egypt	818	1,2,4	1,2,4	1,2,4	1,4	1,4	1,4	N
Estonia	233	1,2,3	1,2,3	3	1	0	1,3	Y
Finland	246	1,2,3	1,2,3	3	1	0	1,3	Y
France	250	1,2,3	1,2,3	3	1	0	1,3	Y
Germany	276	1,2,3	1,2,3	3	1	0	1,3	Y
Greece	300	1,2,3	1,2,3	3	1	0	1,3	Y
Ecuador	218	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Guatemala	320	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
HongKong	344	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	N
Hungary	348	1,2,3	1,2,3	3	1	0	1,3	Y
Iceland	352	1,2,3	1,2,3	3	1	0	1,3	Y
Honduras	340	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	Y
India	356	1,2,4	1,2	4	1	4	1,4	N
Iran	364	1,2,3,4	1,2	2,3,4	1	4	1,4	Y
Ireland	372	1,2,3	1,2,3	3	1	0	1,3	Y
Indonesia	360	1,2,4	1,2,4	4	1,4	4	1,4	N
Israel	376	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	Y
Italy	380	1,2,3	1,2,3	3	1	0	1,3	Y
Japan	392	1,2,3	1,2,3	3	1	3	1,3	Y
Jordan	400	1,4	1,4	1,4	1,4	1,4	1,4	N
Kazakhstan	398	1,2,3	1,2,3	1,2,3	1	0	1,3	Y
Kenya	404	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Kuwait	414	1,2	1,2	1,2	1	1	1	N
Latvia	428	1,2,3	1,2,3	3	1	0	1,3	Y
Luxembourg	442	1,2,3	1,2,3	3	1	0	1,3	Y
Lebanon	422	1,2,3	1,2	3	1	3	1,3	Y
Lithuania	440	1,2,3	1,2,3	3	1	0	1,3	Y
Macau	446	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Malaysia	458	1,2,3,4	1,2,3,4	3,4	1,4	4	1,2,3,4	Y
Monaco	492	1,2,3	1,2,3	3	1	0	1,3	Y
Morocco	504	1,2	1,2	0	1	0	1	N
Myanmar	104	4	4	4	4	4	0	N
Netherlands	528	1,2,3	1,2,3	3	1	0	1,3	Y
Norway	578	1,2,3	1,2,3	3	1	0	1,3	Y
Mexico	484	1,2,4	1,2,4	1,2,4	1,4	1,4	1,4	N
NewZealand	554	1,2,3,4	1,2,3,4	3,4	1,4	3,4	1,4	N
NorthMacedonia	807	1,2,3	1,2,3	3	1	0	1,3	Y
Oman	512	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Pakistan	586	4	4	4	4	4	4	N
Panama	591	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Peru	604	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Poland	616	1,2,3	1,2,3	3	1	0	1,3	Y
Portugal	620	1,2,3	1,2,3	3	1	0	1,3	Y
Philippines	608	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	Y
PuertoRico	630	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	N
Qatar	634	4	4	4	4	4	4	N
Romania	642	1,2,3	1,2,3	3	1	0	1,3	Y
Russia	643	1,2,3,4	1,2,3,4	3,4	1,4	4	1,4	Y
SaudiArabia	682	1,2,3,4	1,2,3,4	3,4	1,4	4	1,4	Y
Singapore	702	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	Y
Slovakia	703	1,2,3	1,2,3	3	1	0	1,3	Y
Slovenia	705	1,2,3	1,2,3	3	1	0	1,3	Y
SouthAfrica	710	1,2,3	1,2	3	1	3	1,3	Y
SouthKorea	410	1,2,3,4	1,2,3,4	2,3,4	1,4	4	1,4	Y
Spain	724	1,2,3	1,2,3	3	1	0	1,3	Y
SriLanka	144	1,2,3,4	1,2,3,4	3,4	1,4	4	1,4	N
Sweden	752	1,2,3	1,2,3	3	1	0	1,3	Y
Switzerland	756	1,2,3	1,2,3	3	1	0	1,3	Y
Taiwan	158	1,2,3,4	1,2,3,4	1,2,3,4	1,4	1,4	1,4	Y
Thailand	764	1,2,3,4	1,2,3,4	3,4	1,4	3,4	1,4	Y
Tunisia	788	1,2	1,2	1,2	1	1	1	N
Turkey	792	1,2,3	1,2	3	1	3	1,3	Y
UnitedArabEmirates	784	1,2,3,4	1,2,3,4	3,4	1,4	4	1,4	Y
